#,Title,Notes,Tags,Text Overlay,Duration,Date,Pitcher,Hitter,Inning,Score,Runners On Base,Outs,Count,Pitch Result,Pitch Type,Velocity (MPH),BIP Type,BIP Result,Non-BIP Result
1,"Frye, C. VS Teel, K.",Georgetown University vs University of Virginia,,,00:00:02.3,,"Frye, C.","Teel, K.",B5,4-3, - ,0,0-0,Strike Taken,Fastball,0,,,,
2,"Frye, C. VS Teel, K.",Georgetown University vs University of Virginia,,,00:00:02.8,,"Frye, C.","Teel, K.",B5,4-3, - ,0,0-1,Strike Swinging,Curveball,78,,,,
3,"Frye, C. VS Teel, K.",Georgetown University vs University of Virginia,,,00:00:02.3,,"Frye, C.","Teel, K.",B5,4-3, - ,0,0-2,Ball,Fastball,0,,,,
4,"Frye, C. VS Teel, K.",Georgetown University vs University of Virginia,,,00:00:05.7,,"Frye, C.","Teel, K.",B5,4-3, - ,0,1-2,BIP,Curveball,78,Fly Ball,Flyout,,
5,"Frye, C. VS Gelof, J.",Georgetown University vs University of Virginia,,,00:00:01.9,,"Frye, C.","Gelof, J.",B5,4-3, - ,1,0-0,Ball,Fastball,86,,,,
6,"Frye, C. VS Gelof, J.",Georgetown University vs University of Virginia,,,00:00:02.5,,"Frye, C.","Gelof, J.",B5,4-3, - ,1,1-0,Foul,Fastball,0,,,,
7,"Frye, C. VS Gelof, J.",Georgetown University vs University of Virginia,,,00:00:02.6,,"Frye, C.","Gelof, J.",B5,4-3, - ,1,1-1,Ball,Curveball,0,,,,
8,"Frye, C. VS Gelof, J.",Georgetown University vs University of Virginia,,,00:00:07.8,,"Frye, C.","Gelof, J.",B5,4-3, - ,1,2-1,BIP,Fastball,89,Fly Ball,Flyout,,
9,"Frye, C. VS Tappen, A.",Georgetown University vs University of Virginia,,,00:00:02.4,,"Frye, C.","Tappen, A.",B5,4-3, - ,2,0-0,Ball,Fastball,0,,,,
10,"Frye, C. VS Tappen, A.",Georgetown University vs University of Virginia,,,00:00:08.6,,"Frye, C.","Tappen, A.",B5,4-3, - ,2,1-0,BIP,Curveball,76,Fly Ball,Flyout,,
11,"Frye, C. VS Morgan, T.",Virginia Military Institute vs Georgetown University,,,00:00:02.6,,"Frye, C.","Morgan, T.",T7,2-6, - ,0,0-0,Ball,Fastball,0,,,,
12,"Frye, C. VS Morgan, T.",Virginia Military Institute vs Georgetown University,,,00:00:02.1,,"Frye, C.","Morgan, T.",T7,2-6, - ,0,1-0,Ball,Fastball,0,,,,
13,"Frye, C. VS Morgan, T.",Virginia Military Institute vs Georgetown University,,,00:00:01.9,,"Frye, C.","Morgan, T.",T7,2-6, - ,0,2-0,Strike Swinging,Fastball,0,,,,
14,"Frye, C. VS Morgan, T.",Virginia Military Institute vs Georgetown University,,,00:00:01.9,,"Frye, C.","Morgan, T.",T7,2-6, - ,0,2-1,Ball,Fastball,0,,,,
15,"Frye, C. VS Morgan, T.",Virginia Military Institute vs Georgetown University,,,00:00:01.9,,"Frye, C.","Morgan, T.",T7,2-6, - ,0,3-1,Ball,Fastball,0,,,Walk,
16,"Frye, C. VS Cook, B.",Virginia Military Institute vs Georgetown University,,,00:00:02.5,,"Frye, C.","Cook, B.",T7,2-6,1B,0,0-0,Ball,Fastball,0,,,,
17,"Frye, C. VS Cook, B.",Virginia Military Institute vs Georgetown University,,,00:00:02.4,,"Frye, C.","Cook, B.",T7,2-6,2B,0,1-0,Ball,Fastball,0,,,,
18,"Frye, C. VS Cook, B.",Virginia Military Institute vs Georgetown University,,,00:00:02.9,,"Frye, C.","Cook, B.",T7,2-6,2B,0,2-0,Ball,Fastball,0,,,,
19,"Frye, C. VS Cook, B.",Virginia Military Institute vs Georgetown University,,,00:00:02.5,,"Frye, C.","Cook, B.",T7,2-6,2B,0,3-0,Strike Taken,Fastball,0,,,,
20,"Frye, C. VS Cook, B.",Virginia Military Institute vs Georgetown University,,,00:00:04.6,,"Frye, C.","Cook, B.",T7,2-6,2B,0,3-1,Foul,Fastball,0,,,,
21,"Frye, C. VS Cook, B.",Virginia Military Institute vs Georgetown University,,,00:00:02.7,,"Frye, C.","Cook, B.",T7,2-6,2B,0,3-2,Ball,Fastball,0,,,Walk,
22,"Frye, C. VS Stallings, B.",Georgetown University vs George Mason University,,,00:00:02.8,,"Frye, C.","Stallings, B.",B7,5-2, - ,0,0-0,Foul,Fastball,0,,,,
23,"Frye, C. VS Stallings, B.",Georgetown University vs George Mason University,,,00:00:01.2,,"Frye, C.","Stallings, B.",B7,5-2, - ,0,0-1,Strike Swinging,Unknown,0,,,,
24,"Frye, C. VS Stallings, B.",Georgetown University vs George Mason University,,,00:00:01.6,,"Frye, C.","Stallings, B.",B7,5-2, - ,0,0-2,Foul,Curveball,0,,,,
25,"Frye, C. VS Stallings, B.",Georgetown University vs George Mason University,,,00:00:07.0,,"Frye, C.","Stallings, B.",B7,5-2, - ,0,0-2,BIP,Fastball,0,Line Drive,Single,,
26,"Frye, C. VS Trimble, S.",Georgetown University vs George Mason University,,,00:00:01.8,,"Frye, C.","Trimble, S.",B7,5-2,1B,0,0-0,Strike Taken,Curveball,0,,,,
27,"Frye, C. VS Trimble, S.",Georgetown University vs George Mason University,,,00:00:06.3,,"Frye, C.","Trimble, S.",B7,5-2,1B,0,0-1,BIP,Curveball,0,Ground Ball,Groundout,,
28,"Frye, C. VS Pracht, C.",Georgetown University vs George Mason University,,,00:00:01.4,,"Frye, C.","Pracht, C.",B7,5-2,2B,1,0-0,Ball,Fastball,0,,,,
29,"Frye, C. VS Pracht, C.",Georgetown University vs George Mason University,,,00:00:01.5,,"Frye, C.","Pracht, C.",B7,5-2,2B,1,1-0,Strike Taken,Changeup,0,,,,
30,"Frye, C. VS Pracht, C.",Georgetown University vs George Mason University,,,00:00:01.4,,"Frye, C.","Pracht, C.",B7,5-2,2B,1,1-1,Ball,Curveball,0,,,,
31,"Frye, C. VS Pracht, C.",Georgetown University vs George Mason University,,,00:00:02.1,,"Frye, C.","Pracht, C.",B7,5-2,2B,1,2-1,Ball,Fastball,0,,,,
32,"Frye, C. VS Pracht, C.",Georgetown University vs George Mason University,,,00:00:02.0,,"Frye, C.","Pracht, C.",B7,5-2,2B,1,3-1,Foul,Fastball,0,,,,
33,"Frye, C. VS Pracht, C.",Georgetown University vs George Mason University,,,00:00:08.0,,"Frye, C.","Pracht, C.",B7,5-2,2B,1,3-2,BIP,Fastball,0,Ground Ball,Single,,
34,"Frye, C. VS Ahalt, B.",Georgetown University vs George Mason University,,,00:00:01.9,,"Frye, C.","Ahalt, B.",B7,5-3,1B,1,0-0,Strike Taken,Curveball,0,,,,
35,"Frye, C. VS Ahalt, B.",Georgetown University vs George Mason University,,,00:00:01.6,,"Frye, C.","Ahalt, B.",B7,5-3,1B,1,0-1,Ball,Curveball,0,,,,
36,"Frye, C. VS Ahalt, B.",Georgetown University vs George Mason University,,,00:00:01.3,,"Frye, C.","Ahalt, B.",B7,5-3,1B,1,1-1,Ball,Changeup,0,,,,
37,"Frye, C. VS Ahalt, B.",Georgetown University vs George Mason University,,,00:00:01.6,,"Frye, C.","Ahalt, B.",B7,5-3,1B,1,2-1,Foul,Fastball,0,,,,
38,"Frye, C. VS Ahalt, B.",Georgetown University vs George Mason University,,,00:00:03.7,,"Frye, C.","Ahalt, B.",B7,5-3,1B,1,2-2,Strike Swinging,Curveball,0,,,Strikeout,
39,"Frye, C. VS Shliger, L.",Georgetown University vs University of Maryland-College Park,,,00:00:02.9,,"Frye, C.","Shliger, L.",B5,8-4, - ,0,0-0,Foul,Fastball,89,,,,
40,"Frye, C. VS Shliger, L.",Georgetown University vs University of Maryland-College Park,,,00:00:02.9,,"Frye, C.","Shliger, L.",B5,8-4, - ,0,0-1,Strike Swinging,Fastball,90,,,,
41,"Frye, C. VS Shliger, L.",Georgetown University vs University of Maryland-College Park,,,00:00:07.6,,"Frye, C.","Shliger, L.",B5,8-4, - ,0,0-2,BIP,Curveball,76,Ground Ball,Field Error,,
42,"Frye, C. VS Alleyne, C.",Georgetown University vs University of Maryland-College Park,,,00:00:03.9,,"Frye, C.","Alleyne, C.",B5,8-4,1B,0,0-0,Ball,Curveball,76,,,Hit By Pitch,
43,"Frye, C. VS Shaw, M.",Georgetown University vs University of Maryland-College Park,,,00:00:02.6,,"Frye, C.","Shaw, M.",B5,8-4,1B-2B,0,0-0,Strike Taken,Fastball,89,,,,
44,"Frye, C. VS Shaw, M.",Georgetown University vs University of Maryland-College Park,,,00:00:02.5,,"Frye, C.","Shaw, M.",B5,8-4,1B-2B,0,0-1,Strike Taken,Curveball,77,,,,
45,"Frye, C. VS Shaw, M.",Georgetown University vs University of Maryland-College Park,,,00:00:07.0,,"Frye, C.","Shaw, M.",B5,8-4,1B-2B,0,0-2,Strike Swinging,Curveball,77,,,Strikeout,
46,"Frye, C. VS Lorusso, N.",Georgetown University vs University of Maryland-College Park,,,00:00:07.7,,"Frye, C.","Lorusso, N.",B5,8-4,1B-2B,1,0-0,Strike Taken,Curveball,70,,,,
47,"Frye, C. VS Lorusso, N.",Georgetown University vs University of Maryland-College Park,,,00:00:03.2,,"Frye, C.","Lorusso, N.",B5,8-4,2B-3B,1,0-1,Ball,Curveball,77,,,,
48,"Frye, C. VS Lorusso, N.",Georgetown University vs University of Maryland-College Park,,,00:00:02.9,,"Frye, C.","Lorusso, N.",B5,8-4,2B-3B,1,1-1,Strike Swinging,Curveball,77,,,,
49,"Frye, C. VS Lorusso, N.",Georgetown University vs University of Maryland-College Park,,,00:00:03.1,,"Frye, C.","Lorusso, N.",B5,8-4,2B-3B,1,1-2,Ball,Curveball,77,,,,
50,"Frye, C. VS Lorusso, N.",Georgetown University vs University of Maryland-College Park,,,00:00:16.8,,"Frye, C.","Lorusso, N.",B5,8-4,2B-3B,1,2-2,BIP,Curveball,77,Fly Ball,Sacrifice Fly,,
51,"Frye, C. VS Costes, M.",Georgetown University vs University of Maryland-College Park,,,00:00:02.6,,"Frye, C.","Costes, M.",B5,8-5,2B,2,0-0,Ball,Changeup,85,,,,
52,"Frye, C. VS Costes, M.",Georgetown University vs University of Maryland-College Park,,,00:00:02.8,,"Frye, C.","Costes, M.",B5,8-5,2B,2,1-0,Ball,Fastball,87,,,,
53,"Frye, C. VS Costes, M.",Georgetown University vs University of Maryland-College Park,,,00:00:03.1,,"Frye, C.","Costes, M.",B5,8-5,2B,2,2-0,Ball,Curveball,78,,,,
54,"Frye, C. VS Costes, M.",Georgetown University vs University of Maryland-College Park,,,00:00:02.5,,"Frye, C.","Costes, M.",B5,8-5,2B,2,3-0,Strike Taken,Fastball,89,,,,
55,"Frye, C. VS Costes, M.",Georgetown University vs University of Maryland-College Park,,,00:00:07.4,,"Frye, C.","Costes, M.",B5,8-5,2B,2,3-1,BIP,Fastball,90,Ground Ball,Groundout,,
56,"Frye, C. VS Zmarzlak, B.",Georgetown University vs University of Maryland-College Park,,,00:00:02.1,,"Frye, C.","Zmarzlak, B.",B6,9-5, - ,0,0-0,Ball,Fastball,88,,,,
57,"Frye, C. VS Zmarzlak, B.",Georgetown University vs University of Maryland-College Park,,,00:00:02.6,,"Frye, C.","Zmarzlak, B.",B6,9-5, - ,0,1-0,Foul,Fastball,87,,,,
58,"Frye, C. VS Zmarzlak, B.",Georgetown University vs University of Maryland-College Park,,,00:00:02.2,,"Frye, C.","Zmarzlak, B.",B6,9-5, - ,0,1-1,Strike Taken,Curveball,75,,,,
59,"Frye, C. VS Zmarzlak, B.",Georgetown University vs University of Maryland-College Park,,,00:00:06.7,,"Frye, C.","Zmarzlak, B.",B6,9-5, - ,0,1-2,BIP,Curveball,76,Ground Ball,Groundout,,
60,"Frye, C. VS Schreffler, T.",Georgetown University vs University of Maryland-College Park,,,00:00:04.3,,"Frye, C.","Schreffler, T.",B6,9-5, - ,1,0-0,Foul Bunt,Curveball,74,,,,
61,"Frye, C. VS Schreffler, T.",Georgetown University vs University of Maryland-College Park,,,00:00:02.9,,"Frye, C.","Schreffler, T.",B6,9-5, - ,1,0-1,Ball,Curveball,74,,,,
62,"Frye, C. VS Schreffler, T.",Georgetown University vs University of Maryland-College Park,,,00:00:03.1,,"Frye, C.","Schreffler, T.",B6,9-5, - ,1,1-1,Ball,Curveball,75,,,,
63,"Frye, C. VS Schreffler, T.",Georgetown University vs University of Maryland-College Park,,,00:00:02.9,,"Frye, C.","Schreffler, T.",B6,9-5, - ,1,2-1,Ball,Fastball,88,,,,
64,"Frye, C. VS Schreffler, T.",Georgetown University vs University of Maryland-College Park,,,00:00:05.3,,"Frye, C.","Schreffler, T.",B6,9-5, - ,1,3-1,BIP,Fastball,87,Line Drive,Lineout,,
65,"Frye, C. VS Orr, J.",Georgetown University vs University of Maryland-College Park,,,00:00:02.0,,"Frye, C.","Orr, J.",B6,9-5, - ,2,0-0,Foul,Fastball,88,,,,
66,"Frye, C. VS Orr, J.",Georgetown University vs University of Maryland-College Park,,,00:00:02.9,,"Frye, C.","Orr, J.",B6,9-5, - ,2,0-1,Ball,Changeup,83,,,,
67,"Frye, C. VS Orr, J.",Georgetown University vs University of Maryland-College Park,,,00:00:07.8,,"Frye, C.","Orr, J.",B6,9-5, - ,2,1-1,BIP,Curveball,74,Ground Ball,Groundout,,
68,"Frye, C. VS Hebble, C.",University of Massachusetts vs Georgetown University,,,00:00:01.6,,"Frye, C.","Hebble, C.",T6,2-0, - ,0,0-0,Foul,Fastball,85,,,,
69,"Frye, C. VS Hebble, C.",University of Massachusetts vs Georgetown University,,,00:00:07.1,,"Frye, C.","Hebble, C.",T6,2-0, - ,0,0-1,BIP,Changeup,81,Ground Ball,Groundout,,
70,"Frye, C. VS DeMartino, D.",University of Massachusetts vs Georgetown University,,,00:00:01.9,,"Frye, C.","DeMartino, D.",T6,2-0, - ,1,0-0,Strike Swinging,Fastball,85,,,,
71,"Frye, C. VS DeMartino, D.",University of Massachusetts vs Georgetown University,,,00:00:01.9,,"Frye, C.","DeMartino, D.",T6,2-0, - ,1,0-1,Ball,Fastball,86,,,,
72,"Frye, C. VS DeMartino, D.",University of Massachusetts vs Georgetown University,,,00:00:06.1,,"Frye, C.","DeMartino, D.",T6,2-0, - ,1,1-1,BIP,Fastball,82,Ground Ball,Groundout,,
73,"Frye, C. VS Judd, D.",University of Massachusetts vs Georgetown University,,,00:00:03.3,,"Frye, C.","Judd, D.",T6,2-0, - ,2,0-0,Ball,Fastball,82,,,,
74,"Frye, C. VS Judd, D.",University of Massachusetts vs Georgetown University,,,00:00:01.9,,"Frye, C.","Judd, D.",T6,2-0, - ,2,1-0,Strike Swinging,Fastball,87,,,,
75,"Frye, C. VS Judd, D.",University of Massachusetts vs Georgetown University,,,00:00:02.4,,"Frye, C.","Judd, D.",T6,2-0, - ,2,1-1,Ball,Curveball,73,,,,
76,"Frye, C. VS Judd, D.",University of Massachusetts vs Georgetown University,,,00:00:02.3,,"Frye, C.","Judd, D.",T6,2-0, - ,2,2-1,Strike Swinging,Fastball,86,,,,
77,"Frye, C. VS Judd, D.",University of Massachusetts vs Georgetown University,,,00:00:02.1,,"Frye, C.","Judd, D.",T6,2-0, - ,2,2-2,Ball,Fastball,88,,,,
78,"Frye, C. VS Judd, D.",University of Massachusetts vs Georgetown University,,,00:00:03.3,,"Frye, C.","Judd, D.",T6,2-0, - ,2,3-2,Ball,Fastball,87,,,Walk,
79,"Frye, C. VS Gervasi, M.",University of Massachusetts vs Georgetown University,,,00:00:02.6,,"Frye, C.","Gervasi, M.",T6,2-0,1B,2,0-0,Ball,Fastball,85,,,,
80,"Frye, C. VS Gervasi, M.",University of Massachusetts vs Georgetown University,,,00:00:04.2,,"Frye, C.","Gervasi, M.",T6,2-0,1B,2,1-0,Ball,Fastball,86,,,,
81,"Frye, C. VS Gervasi, M.",University of Massachusetts vs Georgetown University,,,00:00:03.5,,"Frye, C.","Gervasi, M.",T6,2-0,1B,2,2-0,Ball,Fastball,87,,,,
82,"Frye, C. VS Gervasi, M.",University of Massachusetts vs Georgetown University,,,00:00:02.7,,"Frye, C.","Gervasi, M.",T6,2-0,1B,2,3-0,Strike Taken,Fastball,86,,,,
83,"Frye, C. VS Gervasi, M.",University of Massachusetts vs Georgetown University,,,00:00:03.1,,"Frye, C.","Gervasi, M.",T6,2-0,1B,2,3-1,Strike Taken,Fastball,86,,,,
84,"Frye, C. VS Gervasi, M.",University of Massachusetts vs Georgetown University,,,00:00:07.9,,"Frye, C.","Gervasi, M.",T6,2-0,1B,2,3-2,BIP,Fastball,88,Fly Ball,Flyout,,
85,"Frye, C. VS Wilde, A.",University of Massachusetts vs Georgetown University,,,00:00:02.5,,"Frye, C.","Wilde, A.",T7,2-0, - ,0,0-0,Strike Taken,Changeup,83,,,,
86,"Frye, C. VS Wilde, A.",University of Massachusetts vs Georgetown University,,,00:00:02.9,,"Frye, C.","Wilde, A.",T7,2-0, - ,0,0-1,Ball,Changeup,80,,,,
87,"Frye, C. VS Wilde, A.",University of Massachusetts vs Georgetown University,,,00:00:02.7,,"Frye, C.","Wilde, A.",T7,2-0, - ,0,1-1,Foul,Changeup,81,,,,
88,"Frye, C. VS Wilde, A.",University of Massachusetts vs Georgetown University,,,00:00:02.8,,"Frye, C.","Wilde, A.",T7,2-0, - ,0,1-2,Foul,Curveball,71,,,,
89,"Frye, C. VS Wilde, A.",University of Massachusetts vs Georgetown University,,,00:00:02.2,,"Frye, C.","Wilde, A.",T7,2-0, - ,0,1-2,Foul,Changeup,80,,,,
90,"Frye, C. VS Wilde, A.",University of Massachusetts vs Georgetown University,,,00:00:07.9,,"Frye, C.","Wilde, A.",T7,2-0, - ,0,1-2,Strike Swinging,Curveball,72,,,Strikeout,
91,"Frye, C. VS Skagerlind, K.",University of Massachusetts vs Georgetown University,,,00:00:02.5,,"Frye, C.","Skagerlind, K.",T7,2-0, - ,1,0-0,Ball,Fastball,84,,,,
92,"Frye, C. VS Skagerlind, K.",University of Massachusetts vs Georgetown University,,,00:00:02.6,,"Frye, C.","Skagerlind, K.",T7,2-0, - ,1,1-0,Ball,Fastball,84,,,,
93,"Frye, C. VS Skagerlind, K.",University of Massachusetts vs Georgetown University,,,00:00:02.2,,"Frye, C.","Skagerlind, K.",T7,2-0, - ,1,2-0,Foul,Fastball,84,,,,
94,"Frye, C. VS Skagerlind, K.",University of Massachusetts vs Georgetown University,,,00:00:02.9,,"Frye, C.","Skagerlind, K.",T7,2-0, - ,1,2-1,Foul,Slider,81,,,,
95,"Frye, C. VS Skagerlind, K.",University of Massachusetts vs Georgetown University,,,00:00:03.5,,"Frye, C.","Skagerlind, K.",T7,2-0, - ,1,2-2,Ball,Curveball,71,,,,
96,"Frye, C. VS Skagerlind, K.",University of Massachusetts vs Georgetown University,,,00:00:06.5,,"Frye, C.","Skagerlind, K.",T7,2-0, - ,1,3-2,Strike Swinging,Curveball,70,,,Strikeout,
97,"Frye, C. VS Luttazi, S.",University of Massachusetts vs Georgetown University,,,00:00:02.3,,"Frye, C.","Luttazi, S.",T7,2-0, - ,2,0-0,Strike Taken,Slider,80,,,,
98,"Frye, C. VS Luttazi, S.",University of Massachusetts vs Georgetown University,,,00:00:02.3,,"Frye, C.","Luttazi, S.",T7,2-0, - ,2,0-1,Ball,Slider,80,,,,
99,"Frye, C. VS Luttazi, S.",University of Massachusetts vs Georgetown University,,,00:00:02.8,,"Frye, C.","Luttazi, S.",T7,2-0, - ,2,1-1,Ball,Fastball,85,,,,
100,"Frye, C. VS Luttazi, S.",University of Massachusetts vs Georgetown University,,,00:00:07.1,,"Frye, C.","Luttazi, S.",T7,2-0, - ,2,2-1,BIP,Fastball,84,Ground Ball,Groundout,,
101,"Frye, C. VS Council, J.",Georgetown University vs Norfolk State University,,,00:00:09.0,,"Frye, C.","Council, J.",B4,7-5,2B,2,0-0,BIP,Fastball,0,Fly Ball,Flyout,,
102,"Frye, C. VS Brandon, T.",Georgetown University vs Norfolk State University,,,00:00:02.5,,"Frye, C.","Brandon, T.",B5,11-5, - ,0,0-0,Strike Taken,Fastball,0,,,,
103,"Frye, C. VS Brandon, T.",Georgetown University vs Norfolk State University,,,00:00:02.8,,"Frye, C.","Brandon, T.",B5,11-5, - ,0,0-1,Ball,Fastball,0,,,,
